Model B0
Version: v0

Epoch   Training Accuracy  Validation Accuracy
1      0.77984              0.76847
2      0.78189              0.76847
3      0.84636              0.76847
4      0.89369              0.23153
5      0.94856              0.76847
6      0.97462              0.76847
7      0.97805              0.23153
8      0.97394              0.76847
9      0.97737              0.76847
10      0.98354              0.76847
11      0.99314              0.76847
12      0.99383              0.76847
13      0.99588              0.38916
14      0.99726              0.73399
15      0.99931              0.76847
16      1.00000              0.75123
17      1.00000              0.72906
18      1.00000              0.73892
19      1.00000              0.74138
20      1.00000              0.73399
Testing Accuracy 0.73399

Model B4
Version: v0

Epoch   Training Accuracy  Validation Accuracy
1      0.64485              0.76847
2      0.70128              0.76847
3      0.74342              0.76847
4      0.72611              0.76847
5      0.75997              0.76847
6      0.78179              0.76355
7      0.76223              0.76847
8      0.79157              0.76601
9      0.79233              0.77094
10      0.77427              0.77340
11      0.78631              0.80049
12      0.78932              0.78325
13      0.78104              0.76847
14      0.81264              0.77586
15      0.79308              0.77094
16      0.79007              0.77094
17      0.76749              0.77833
18      0.78405              0.79310
19      0.78104              0.79310
20      0.79533              0.78818
21      0.78932              0.81034
22      0.79383              0.80788
23      0.78781              0.75369
24      0.78856              0.81034
25      0.79157              0.78571
26      0.78104              0.80296
27      0.79985              0.80542
28      0.78179              0.79803
29      0.79233              0.80296
30      0.79985              0.78571
31      0.79082              0.82266
32      0.82242              0.78818
33      0.81490              0.80296
34      0.82919              0.77340
35      0.78104              0.80788
36      0.79458              0.80788
37      0.81415              0.79557
38      0.80135              0.80542
39      0.78179              0.79310
40      0.77427              0.80049
41      0.80211              0.79064
42      0.80662              0.79064
43      0.79533              0.80296
44      0.80813              0.80542
45      0.78254              0.77094
46      0.79834              0.77340
47      0.80060              0.79803
48      0.79533              0.82266
49      0.81189              0.78818
50      0.81339              0.81773
51      0.80888              0.80049
52      0.81490              0.80049
53      0.81339              0.82512
54      0.80512              0.82020
55      0.79007              0.82512
56      0.81490              0.82759
57      0.81114              0.80049
58      0.80060              0.81281
59      0.80963              0.81527
60      0.78856              0.82020
61      0.80888              0.81773
62      0.79609              0.81527
63      0.82468              0.81773
64      0.78932              0.82759
65      0.81866              0.82512
66      0.79308              0.82512
67      0.79910              0.82266
68      0.79985              0.82266
69      0.80211              0.82266
70      0.79910              0.82266
71      0.79233              0.82266
72      0.79759              0.82266
73      0.81038              0.82020
74      0.79233              0.82020
75      0.82995              0.82020
76      0.78330              0.82020
77      0.80211              0.82020
78      0.79308              0.82020
79      0.81114              0.82020
80      0.82167              0.82266
81      0.80286              0.82266
82      0.79684              0.82266
83      0.78932              0.82266
84      0.78856              0.82266
85      0.80135              0.82266
86      0.80436              0.82266
87      0.77953              0.82512
88      0.79082              0.82266
89      0.81716              0.82266
90      0.79834              0.82266
91      0.81565              0.82266
92      0.79533              0.82266
93      0.81415              0.82266
94      0.80737              0.82266
95      0.80512              0.82020
96      0.78932              0.82020
97      0.80211              0.82020
98      0.80060              0.82266
99      0.80587              0.82266
100      0.79157              0.82266
Testing Accuracy 0.82266
Report:               precision    recall  f1-score   support

         0.0       0.66      0.49      0.56        94
         1.0       0.86      0.92      0.89       312

    accuracy                           0.82       406
   macro avg       0.76      0.71      0.72       406
weighted avg       0.81      0.82      0.81       406

